/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.067971,0.155219,5.596535,2.181232,1.378095,0.811237,0.500796,0.310546,0.191244
0.065907,0.160965,5.436234,2.087341,1.315248,0.806096,0.491672,0.307764,0.201050
0.071167,0.154360,5.524024,2.188553,1.311433,0.809917,0.492918,0.307607,0.187863
0.065798,0.155671,5.516988,2.081857,1.335049,0.825047,0.547726,0.306293,0.199356
0.068520,0.151602,5.419774,2.093237,1.306554,0.816625,0.474595,0.316672,0.191776
0.064979,0.158804,5.606363,2.159327,1.304708,0.793929,0.505721,0.357364,0.261316
0.065204,0.149999,5.841953,2.171827,1.489815,0.879792,0.537358,0.352017,0.195744
0.063613,0.154910,5.446546,2.098706,1.314491,0.828538,0.479364,0.314982,0.191747
0.061020,0.166006,5.559479,2.094235,1.305235,0.848626,0.555626,0.322911,0.205608
0.067999,0.151163,5.402883,2.087079,1.306000,0.803494,0.477540,0.311859,0.197559
0.069997,0.158938,5.954449,2.220191,1.457178,0.959803,0.582048,0.317068,0.189008
0.067498,0.162507,5.889376,2.265731,1.455142,0.831287,0.574659,0.329656,0.202695
0.063437,0.161335,5.763949,2.115035,1.401298,0.922904,0.575634,0.322476,0.201630
0.068702,0.154726,5.626453,2.133899,1.407236,0.884712,0.477571,0.304045,0.195382
0.065916,0.157284,5.472757,2.113708,1.308918,0.827397,0.490492,0.316010,0.192845
0.065033,0.166811,5.429804,2.095267,1.307397,0.803008,0.495244,0.305302,0.191523
0.070065,0.167964,5.749660,2.213263,1.428766,0.874319,0.483400,0.304575,0.207108
0.068996,0.163092,5.903761,2.233730,1.488187,0.905082,0.505831,0.331799,0.206840
0.069928,0.169154,6.102720,2.358055,1.488402,0.910955,0.560517,0.324242,0.221271
0.066939,0.164960,5.949530,2.174218,1.476421,0.935794,0.573578,0.348905,0.208495
0.070807,0.154941,5.688361,2.163511,1.468167,0.835410,0.494291,0.311808,0.189199
0.073292,0.152800,5.790078,2.296757,1.461714,0.812118,0.493054,0.311369,0.188766
0.071825,0.167582,6.039856,2.258427,1.444536,0.923371,0.588713,0.372624,0.212566
0.068588,0.163929,6.076183,2.333296,1.492957,0.907173,0.548795,0.361571,0.199662
0.070451,0.164053,5.954113,2.284142,1.461291,0.924526,0.513307,0.329530,0.206622
0.063812,0.155290,5.460231,2.104447,1.317110,0.826747,0.496420,0.309658,0.186557
0.066171,0.152400,5.631095,2.290137,1.330694,0.806415,0.484231,0.302252,0.198602
0.058621,0.149012,5.191154,1.880999,1.285669,0.819096,0.487940,0.317772,0.191857
0.061142,0.137743,5.094773,1.923408,1.218601,0.768257,0.480348,0.315684,0.189390
0.059576,0.162320,5.566901,1.975079,1.274639,0.796281,0.491514,0.581440,0.225858
0.071564,0.134543,5.625808,2.338955,1.319102,0.782996,0.477351,0.307471,0.193614
0.070896,0.157258,6.012213,2.416180,1.424724,0.874867,0.533877,0.340694,0.193445
0.073666,0.165749,5.986676,2.305244,1.444165,0.890587,0.576367,0.329344,0.201355
0.077603,0.168957,6.458153,2.638444,1.508177,0.911783,0.546179,0.374881,0.231907
0.058759,0.163936,5.656746,2.134286,1.378577,0.833901,0.501928,0.396521,0.188624
0.077317,0.155878,5.843150,2.462370,1.315204,0.816159,0.510730,0.305723,0.199577
0.070855,0.192442,6.623828,2.320408,1.490715,1.300675,0.652825,0.358205,0.237484
0.070392,0.160402,6.425416,2.503855,1.526631,0.978284,0.598172,0.368648,0.218855
0.069564,0.163619,6.379814,2.407869,1.612585,0.969486,0.591650,0.350103,0.214745
0.069650,0.161211,6.078821,2.388437,1.488052,0.902169,0.514786,0.325199,0.229141
0.070419,0.167689,6.310308,2.528006,1.617570,0.863883,0.535755,0.324193,0.202602
0.071779,0.158908,5.951594,2.352407,1.425802,0.877009,0.551278,0.312143,0.202092
0.069755,0.178970,6.099116,2.293789,1.496670,0.906707,0.576652,0.344707,0.231665
0.070616,0.160390,6.103367,2.358700,1.513092,0.940996,0.521025,0.337111,0.201237
0.068288,0.163811,5.949312,2.241893,1.435598,0.895751,0.531915,0.391794,0.220082
0.070668,0.159143,6.183507,2.348754,1.552970,0.948161,0.576997,0.328142,0.198491
0.077783,0.169268,6.293170,2.377345,1.506958,0.966217,0.587655,0.369536,0.238185
